area_type,availability,location,size,bath,balcony,price,bhk,total_sqft,price_per_sqft
Super built-up  Area,Ready To Move,Sarakki Nagar,4 BHK,5.0,3.0,345.0,4,3126.0,11036.468330134358
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,2.0,2.0,55.0,2,905.0,6077.348066298343
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,2.0,0.0,75.0,3,1375.0,5454.545454545455
Super built-up  Area,18-Apr,Electronic City,2 BHK,2.0,2.0,33.84,2,1140.0,2968.421052631579
Super built-up  Area,Ready To Move,Hormavu,3 BHK,2.0,2.0,60.0,3,1550.0,3870.967741935484
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,2.0,1.0,55.0,2,957.0,5747.126436781609
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,2.0,2.0,45.0,2,890.0,5056.179775280899
Super built-up  Area,Ready To Move,KR Puram,4 BHK,4.0,2.0,235.0,4,3000.0,7833.333333333333
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,1.0,55.0,2,1070.0,5140.186915887851
Plot  Area,Ready To Move,Other,5 Bedroom,5.0,1.0,150.0,5,2400.0,6250.0
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,2.0,595.0,4,2400.0,24791.666666666668
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,2.0,1.0,37.0,2,925.0,4000.0
Built-up  Area,Ready To Move,Kammasandra,2 BHK,2.0,2.0,60.0,2,1415.0,4240.282685512368
Plot  Area,Ready To Move,Other,1 Bedroom,2.0,0.0,80.0,1,500.0,16000.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2.0,1.0,37.0,2,1225.0,3020.408163265306
Built-up  Area,Ready To Move,Hennur Road,4 Bedroom,4.0,0.0,90.0,4,2000.0,4500.0
Super built-up  Area,19-Dec,Whitefield,1 BHK,1.0,1.0,57.0,1,840.0,6785.714285714285
Plot  Area,Ready To Move,Banashankari Stage III,9 Bedroom,9.0,2.0,200.0,9,1560.0,12820.51282051282
Super built-up  Area,18-Dec,Thanisandra,3 BHK,3.0,1.0,112.0,3,1732.0,6466.512702078522
Plot  Area,Ready To Move,Parappana Agrahara,1 Bedroom,1.0,0.0,45.0,1,1200.0,3750.0
Super built-up  Area,Ready To Move,Bhoganhalli,2 BHK,2.0,1.0,69.9,2,1260.0,5547.619047619049
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,49.0,2,1092.0,4487.179487179487
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,0.0,34.0,2,827.0,4111.24546553809
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,2.0,2.0,54.0,2,1357.0,3979.3662490788506
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,1.0,1.0,40.0,2,650.0,6153.846153846154
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2.0,1.0,54.79,3,1370.0,3999.2700729927005
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3.0,2.0,106.0,3,1725.0,6144.927536231884
Built-up  Area,Ready To Move,Jalahalli,2 BHK,2.0,0.0,70.0,2,1000.0,7000.0
Plot  Area,Ready To Move,TC Palaya,1 Bedroom,1.0,0.0,55.0,1,1350.0,4074.074074074074
Plot  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,4.0,2.0,350.0,4,3200.0,10937.5
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3.0,2.0,110.0,3,1717.0,6406.523005241701
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,2.0,1.0,34.0,2,700.0,4857.142857142857
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,32.0,2,800.0,4000.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,4.0,3.0,340.0,3,2367.0,14364.17405999155
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,2.0,1.0,65.0,3,1415.0,4593.639575971732
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,3.0,1.0,145.0,3,1976.0,7338.056680161943
Super built-up  Area,Ready To Move,Kambipura,2 BHK,2.0,1.0,37.01,2,883.0,4191.392978482446
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,1.0,1.0,38.0,1,700.0,5428.571428571428
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,3.0,1.0,50.0,3,1445.0,3460.2076124567475
Super built-up  Area,19-Dec,Battarahalli,3 BHK,3.0,2.0,104.0,3,2082.0,4995.1969260326605
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2.0,2.0,46.0,2,1140.0,4035.0877192982457
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2.0,1.0,66.0,2,933.0,7073.954983922829
Plot  Area,Ready To Move,NRI Layout,4 Bedroom,5.0,1.0,95.5,4,800.0,11937.5
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2.0,1.0,57.0,2,1155.0,4935.064935064935
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,1.0,36.0,2,1130.0,3185.8407079646017
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,2.0,2.0,73.2,2,1200.0,6100.0
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,43.0,2,1055.0,4075.829383886256
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3.0,2.0,125.0,3,1555.0,8038.585209003216
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3.0,2.0,62.0,3,1420.0,4366.197183098591
Super built-up  Area,20-Apr,Other,3 BHK,3.0,2.0,350.0,3,2214.0,15808.491418247515
Super built-up  Area,18-Apr,Devanahalli,1 BHK,1.0,1.0,26.91,1,658.0,4089.665653495441
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,2.0,1.0,78.74,2,896.9,8779.128107927305
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,3.0,2.0,750.0,4,4000.0,18750.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,2.0,2.0,40.0,2,1035.0,3864.7342995169083
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5.0,2.0,225.0,4,2064.0,10901.162790697674
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,160.0,3,1839.0,8700.380641653072
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2.0,2.0,44.0,2,1200.0,3666.6666666666665
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,1.0,1.0,20.0,1,488.0,4098.360655737705
Built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,2.0,1.0,198.0,3,1200.0,16500.0
Built-up  Area,Ready To Move,Other,5 Bedroom,5.0,2.0,140.0,5,2760.0,5072.463768115942
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,42.0,2,993.0,4229.607250755287
Super built-up  Area,Ready To Move,Hoodi,2 BHK,2.0,1.0,45.0,2,1225.0,3673.469387755102
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2.0,0.0,55.0,2,900.0,6111.111111111111
Plot  Area,18-Feb,Electronic City,9 Bedroom,13.0,2.0,150.0,9,1200.0,12500.0
Built-up  Area,Ready To Move,Sompura,2 BHK,2.0,1.0,32.0,2,825.0,3878.787878787879
Super built-up  Area,Ready To Move,Bellandur,4 BHK,4.0,2.0,359.0,4,3596.0,9983.314794215796
Plot  Area,Ready To Move,Other,6 Bedroom,4.0,1.0,203.0,6,1350.0,15037.037037037036
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,3.0,3.0,92.0,3,1800.0,5111.111111111111
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,100.0,2,925.0,10810.81081081081
Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,2.0,1.0,63.0,2,1167.0,5398.457583547558
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2.0,1.0,41.0,2,1150.0,3565.217391304348
Super built-up  Area,18-Aug,Other,1 BHK,1.0,1.0,50.0,1,650.0,7692.307692307692
Built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,1.0,1.0,27.0,1,675.0,4000.0
Plot  Area,Ready To Move,Other,2 Bedroom,3.0,1.0,90.0,2,2260.0,3982.3008849557523
Super built-up  Area,18-Apr,Other,1 BHK,1.0,0.0,32.39,1,720.0,4498.611111111111
Plot  Area,Ready To Move,Whitefield,3 Bedroom,4.0,2.0,600.0,3,4800.0,12500.0
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,2.0,1.0,58.0,2,1100.0,5272.727272727273
Super built-up  Area,Ready To Move,Other,2 BHK,1.0,1.0,20.0,2,550.0,3636.3636363636365
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,2.0,1.0,58.0,3,1330.0,4360.902255639097
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2.0,1.0,160.0,2,1320.0,12121.212121212122
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,4.0,2.0,185.0,3,1685.0,10979.228486646884
Super built-up  Area,Ready To Move,Other,6 BHK,5.0,2.0,75.0,6,2400.0,3125.0
Super built-up  Area,18-Apr,Banashankari,3 BHK,3.0,3.0,108.0,3,1770.0,6101.6949152542375
Super built-up  Area,Ready To Move,Prithvi Layout,3 BHK,3.0,3.0,125.0,3,2100.0,5952.380952380952
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,2.0,3.0,42.0,2,1000.0,4200.0
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,5.0,1.0,105.0,4,600.0,17500.0
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,5.0,1.0,230.0,4,2916.0,7887.517146776406
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,2.0,1.0,65.0,3,1419.59,4578.786832817927
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,3.0,2.0,81.0,3,1400.0,5785.714285714285
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,2.0,1.0,37.49,2,750.0,4998.666666666667
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,2.0,1.0,87.0,2,1070.0,8130.841121495327
Super built-up  Area,18-Dec,Kannamangala,3 BHK,3.0,1.0,107.0,3,1536.0,6966.145833333333
Built-up  Area,Ready To Move,Koramangala,3 BHK,3.0,2.0,210.0,3,1710.0,12280.701754385966
Carpet  Area,Ready To Move,JP Nagar,3 BHK,3.0,3.0,196.0,3,2400.0,8166.666666666667
Super built-up  Area,18-Apr,Electronic City,2 BHK,2.0,1.0,72.0,2,1342.0,5365.126676602086
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,130.0,3,1600.0,8125.0
Super built-up  Area,19-Dec,Kanakapura,1 BHK,1.0,1.0,50.0,1,938.0,5330.490405117271
Super built-up  Area,Ready To Move,Budigere,3 BHK,3.0,2.0,99.0,3,1820.0,5439.56043956044
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,4.0,3.0,170.0,4,2439.0,6970.069700697007
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3.0,2.0,78.0,3,1665.0,4684.684684684685
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,3.0,2.0,150.0,3,1850.0,8108.108108108108
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,2.0,1.0,40.0,2,1091.0,3666.3611365719526
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,2.0,1.0,74.03,2,1346.0,5500.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3.0,2.0,224.0,3,1720.0,13023.255813953489
Built-up  Area,Ready To Move,Brookefield,4 Bedroom,4.0,3.0,176.0,4,3675.0,4789.115646258503
Super built-up  Area,18-Jun,JP Nagar,2 BHK,2.0,2.0,33.95,2,1060.0,3202.8301886792456
Built-up  Area,18-Dec,Whitefield,2 BHK,2.0,1.0,57.0,2,1059.0,5382.43626062323
Super built-up  Area,Ready To Move,Hebbal,2 BHK,2.0,1.0,97.0,2,1299.0,7467.282525019245
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3.0,2.0,85.0,3,1491.0,5700.871898054997
Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,2.0,2.0,85.0,2,1200.0,7083.333333333333
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,5.0,0.0,110.0,4,2088.0,5268.199233716475
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,1.0,1.0,29.0,1,581.0,4991.394148020654
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,70.0,2,1296.0,5401.234567901234
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,55.0,2,1125.0,4888.888888888889
Built-up  Area,Ready To Move,Electronic City,3 BHK,3.0,1.0,70.0,3,1275.0,5490.196078431372
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2.0,2.0,55.0,2,1095.0,5022.83105022831
Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,4.0,2.0,975.0,5,10000.0,9750.0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,2.0,2.0,74.0,2,1330.0,5563.909774436091
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2.0,2.0,60.0,2,1135.0,5286.343612334802
Super built-up  Area,Ready To Move,Whitefield,1 BHK,1.0,1.0,39.0,1,516.0,7558.139534883721
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,51.0,2,1194.0,4271.356783919598
Plot  Area,Ready To Move,Banaswadi,5 Bedroom,5.0,2.0,240.0,5,2250.0,10666.666666666666
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1.0,1.0,38.0,2,770.0,4935.064935064935
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,5.0,2.0,330.0,4,3930.0,8396.946564885497
Super built-up  Area,18-May,Chikkalasandra,3 BHK,3.0,2.0,54.2,3,1355.0,4000.0
Built-up  Area,Ready To Move,Abbigere,8 Bedroom,8.0,0.0,150.0,8,3000.0,5000.0
Built-up  Area,Ready To Move,Harlur,4 BHK,4.0,1.0,175.0,4,2569.0,6811.989100817439
Built-up  Area,Ready To Move,Hebbal,4 Bedroom,4.0,2.0,450.0,4,3758.0,11974.454497072911
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,3.0,51.91,2,1116.0,4651.433691756272
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,3.0,2.0,115.0,3,1707.0,6736.965436438196
Plot  Area,18-Apr,Other,5 Bedroom,5.0,1.0,225.0,5,1200.0,18750.0
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,2.0,2.0,49.0,2,1070.0,4579.439252336449
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4.0,2.0,410.0,4,6000.0,6833.333333333333
Super built-up  Area,18-Apr,Tumkur Road,3 BHK,2.0,1.0,83.0,3,1240.0,6693.548387096775
Super built-up  Area,19-Dec,JP Nagar,2 BHK,2.0,1.0,91.65,2,1300.0,7050.0
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,2.0,2.0,76.0,2,1700.0,4470.588235294118
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2.0,2.0,76.18,3,1383.0,5508.315256688359
Built-up  Area,Ready To Move,Other,5 Bedroom,4.0,3.0,170.0,5,3000.0,5666.666666666667
Built-up  Area,18-Dec,Electronic City,2 BHK,2.0,1.0,34.65,2,1200.0,2887.5
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2.0,3.0,45.0,2,935.0,4812.834224598931
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,4.0,2.0,151.0,3,2072.0,7287.644787644787
Built-up  Area,Ready To Move,Other,4 Bedroom,3.0,1.0,225.0,4,2200.0,10227.272727272728
Super built-up  Area,Ready To Move,Jalahalli,1 BHK,1.0,1.0,46.0,1,615.0,7479.674796747968
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2.0,1.0,45.0,2,1116.0,4032.2580645161293
Super built-up  Area,18-Dec,Whitefield,3 BHK,3.0,2.0,107.0,3,1639.0,6528.370957901159
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3.0,2.0,130.0,3,1839.0,7069.0592713431215
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,63.0,2,1300.0,4846.153846153846
Super built-up  Area,Ready To Move,Horamavu Agara,1 BHK,1.0,1.0,27.0,1,625.0,4320.0
Super built-up  Area,18-May,Thanisandra,1 BHK,1.0,1.0,61.0,1,933.0,6538.049303322615
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,3.0,3.0,180.0,3,2289.0,7863.695937090432
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,3.0,0.0,125.0,3,2316.0,5397.2366148531955
Super built-up  Area,18-May,Electronic City,2 BHK,2.0,1.0,39.77,2,1005.0,3957.213930348259
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,2.0,1.0,38.0,2,1080.0,3518.5185185185187
Plot  Area,Ready To Move,Munnekollal,7 Bedroom,5.0,3.0,185.0,7,1200.0,15416.666666666666
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,2.0,3.0,36.0,2,910.0,3956.043956043956
Plot  Area,Ready To Move,Hormavu,2 Bedroom,2.0,0.0,73.0,2,1200.0,6083.333333333333
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,1.0,39.9,2,1110.0,3594.5945945945946
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2.0,2.0,56.0,2,1142.0,4903.6777583187395
Carpet  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,4.0,3.0,240.0,5,4000.0,6000.0
Plot  Area,18-Mar,Hormavu,3 Bedroom,3.0,1.0,204.0,3,1800.0,11333.333333333334
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,2.0,1.0,55.0,2,1005.0,5472.636815920398
Built-up  Area,18-Apr,Other,3 BHK,3.0,1.0,133.0,3,1626.6,8176.564613303824
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2.0,2.0,54.0,2,1074.0,5027.932960893855
Carpet  Area,Ready To Move,Basavangudi,2 BHK,2.0,0.0,80.0,2,1230.0,6504.065040650406
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1.0,1.0,23.0,2,660.0,3484.848484848485
Built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,48.0,2,1007.0,4766.633565044687
Plot  Area,Ready To Move,Other,4 Bedroom,6.0,1.0,74.0,4,1050.0,7047.619047619048
Built-up  Area,20-Dec,Whitefield,3 BHK,3.0,2.0,113.0,3,1820.0,6208.791208791209
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,60.0,2,1100.0,5454.545454545455
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,0.0,100.0,2,1348.0,7418.39762611276
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2.0,2.0,66.25,2,1230.0,5386.178861788618
Super built-up  Area,18-May,Horamavu Agara,3 BHK,2.0,1.0,37.62,3,1176.0,3198.9795918367345
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,3.0,2.0,57.0,3,1590.0,3584.9056603773583
Built-up  Area,Ready To Move,Frazer Town,2 BHK,2.0,1.0,78.0,2,1200.0,6500.0
Built-up  Area,18-Jun,Other,2 BHK,2.0,1.0,65.0,2,1298.0,5007.704160246533
Super built-up  Area,18-Jul,Hosa Road,2 BHK,2.0,1.0,55.15,2,1161.0,4750.215331610681
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,0.0,175.0,4,1350.0,12962.962962962964
Plot  Area,Ready To Move,Other,5 Bedroom,5.0,2.0,138.0,5,1200.0,11500.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2.0,1.0,60.0,2,1285.0,4669.260700389105
Super built-up  Area,17-Jun,Electronic City,3 BHK,3.0,2.0,92.59,3,1644.0,5631.995133819952
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,3.0,1.0,150.0,3,1819.0,8246.289169873557
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,2.0,1.0,85.0,2,1205.0,7053.941908713693
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,3.0,3.0,300.0,3,2350.0,12765.95744680851
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2.0,1.0,42.0,2,1050.0,4000.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2.0,2.0,62.0,2,1270.0,4881.889763779527
Super built-up  Area,18-Jun,9th Phase JP Nagar,3 BHK,2.0,2.0,39.89,3,1240.0,3216.935483870968
Super built-up  Area,Ready To Move,Jigani,3 BHK,3.0,3.0,70.0,3,1221.0,5733.005733005733
Built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,35.0,3,840.0,4166.666666666667
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2.0,2.0,63.0,2,1339.0,4705.003734129948
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,5.0,2.0,300.0,4,4303.0,6971.880083662561
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2.0,1.0,85.0,2,1315.0,6463.878326996198
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2.0,2.0,68.0,2,1250.0,5440.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,2.0,1.0,27.0,2,850.0,3176.470588235294
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2.0,2.0,110.0,3,1600.0,6875.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,1.0,62.0,2,1250.0,4960.0
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,1.0,56.5,3,1312.0,4306.40243902439
Super built-up  Area,Ready To Move,Kadugodi,4 BHK,4.0,0.0,134.0,4,3000.0,4466.666666666667
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2.0,2.0,28.0,2,1300.0,2153.846153846154
Built-up  Area,Ready To Move,Whitefield,3 BHK,3.0,3.0,98.0,3,1990.0,4924.62311557789
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,38.5,2,760.0,5065.789473684211
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,4.0,2.0,536.0,4,5000.0,10720.0
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,2.0,2.0,59.0,3,1614.0,3655.5142503097895
Plot  Area,Ready To Move,Judicial Layout,4 Bedroom,3.0,2.0,162.0,4,1500.0,10800.0
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,1.0,60.1,3,1182.0,5084.602368866328
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,46.29,2,1053.0,4396.011396011396
Built-up  Area,Ready To Move,6th Phase JP Nagar,1 BHK,1.0,1.0,105.0,1,750.0,14000.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,3.0,3.0,125.0,3,2000.0,6250.0
Built-up  Area,18-May,Electronic City Phase II,3 BHK,4.0,3.0,116.0,3,1940.0,5979.381443298969
Super built-up  Area,18-Dec,Hennur Road,3 BHK,3.0,2.0,105.0,3,1590.0,6603.773584905661
Super built-up  Area,18-Oct,Other,2 BHK,2.0,2.0,52.79,2,1035.0,5100.48309178744
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2.0,2.0,53.0,2,1075.0,4930.232558139535
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2.0,0.0,55.0,2,900.0,6111.111111111111
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,2.0,1.0,62.0,3,1260.0,4920.6349206349205
Plot  Area,Ready To Move,Other,6 Bedroom,5.0,0.0,260.0,6,1200.0,21666.666666666668
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3.0,2.0,107.0,3,1702.0,6286.721504112808
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2.0,2.0,65.0,3,1080.0,6018.518518518518
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2.0,1.0,45.0,2,1189.0,3784.6930193439866
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,2.0,1.0,39.0,2,1035.0,3768.1159420289855
Super built-up  Area,18-Aug,Hennur Road,2 BHK,2.0,1.0,36.0,2,1200.0,3000.0
Plot  Area,Ready To Move,Mahalakshmi Layout,8 Bedroom,6.0,2.0,852.0,8,4482.0,19009.37081659973
Plot  Area,Ready To Move,Other,3 Bedroom,3.0,0.0,200.0,3,1200.0,16666.666666666668
Super built-up  Area,20-Oct,Kanakpura Road,3 BHK,3.0,1.0,69.0,3,1300.0,5307.692307692308
Super built-up  Area,19-Apr,Yelahanka,2 BHK,2.0,1.0,93.65,2,1330.0,7041.353383458647
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,2.0,1.0,65.0,3,1210.0,5371.900826446281
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,2.0,2.0,54.2,3,1350.0,4014.814814814815
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,2.0,2.0,65.0,3,1900.0,3421.0526315789475
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,4.0,2.0,125.0,3,1935.0,6459.948320413437
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,90.0,3,1410.0,6382.978723404255
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,2.0,2.0,99.14,2,1469.0,6748.8087134104835
Super built-up  Area,Ready To Move,Varthur,2 BHK,2.0,1.0,30.0,2,986.0,3042.5963488843813
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,87.0,3,1460.0,5958.904109589041
Super built-up  Area,19-Jan,Other,3 BHK,2.0,2.0,85.05,3,1260.0,6750.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,2.0,2.0,39.5,3,1345.0,2936.8029739776953
Super built-up  Area,Ready To Move,Panathur,2 BHK,2.0,1.0,57.0,2,980.0,5816.326530612245
Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,2.0,2.0,75.0,2,1164.0,6443.298969072165
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,1.0,2.0,51.0,2,929.0,5489.773950484392
Built-up  Area,Ready To Move,Kundalahalli,2 BHK,2.0,1.0,70.0,2,1065.0,6572.769953051643
Super built-up  Area,20-Jun,Budigere,2 BHK,2.0,0.0,56.725,2,1172.0,4840.017064846416
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,1.0,265.0,3,3000.0,8833.333333333334
Super built-up  Area,18-Apr,Electronic City,2 BHK,2.0,1.0,30.27,2,1020.0,2967.6470588235293
Super built-up  Area,Ready To Move,Gunjur,3 BHK,3.0,1.0,62.63,3,1362.0,4598.384728340676
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,1.0,1.0,36.85,1,672.0,5483.630952380952
Super built-up  Area,Ready To Move,Brookefield,3 BHK,3.0,3.0,115.0,3,1746.0,6586.483390607102
Built-up  Area,18-Dec,Electronic City,2 BHK,2.0,1.0,29.6,2,1025.0,2887.8048780487807
Super built-up  Area,Ready To Move,Harlur,2 BHK,2.0,1.0,65.0,2,1532.0,4242.819843342037
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,120.0,3,1200.0,10000.0
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,65.0,2,1250.0,5200.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2.0,1.0,39.0,2,1188.0,3282.8282828282827
Built-up  Area,19-Oct,Whitefield,4 Bedroom,4.0,0.0,218.0,4,3565.0,6115.007012622721
Super built-up  Area,19-Jan,Marathahalli,2 BHK,2.0,2.0,85.0,2,1170.0,7264.957264957265
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,150.0,3,1800.0,8333.333333333334
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,35.0,2,1000.0,3500.0
Plot  Area,Ready To Move,Cooke Town,3 Bedroom,3.0,1.0,375.0,3,2600.0,14423.076923076924
